PetID,State,State_GPD,State_population,State_density,len_description
86e1089a3,Selangor,339757,6518500,804,359
3d181b3c6,Selangor,339757,6518500,804,58
a3aaac2de,Selangor,339757,6518500,804,382
597c27524,Selangor,339757,6518500,804,88
457bdfb16,Selangor,339757,6518500,804,106
656a0a459,Selangor,339757,6518500,804,618
449290a8b,Selangor,339757,6518500,804,33
05486faf5,Selangor,339757,6518500,804,165
ba16888d7,Selangor,339757,6518500,804,3
a68361fdb,Selangor,339757,6518500,804,133
97f0a97ef,Selangor,339757,6518500,804,3
5f68fcd05,Selangor,339757,6518500,804,142
9b90faeb5,Selangor,339757,6518500,804,793
38d0a0bab,Selangor,339757,6518500,804,95
b879a154c,Selangor,339757,6518500,804,556
7a0942d61,Selangor,339757,6518500,804,232
0f24b6cd6,Selangor,339757,6518500,804,22
33db028cb,Selangor,339757,6518500,804,171
ee5583527,Selangor,339757,6518500,804,109
0eba8b0ad,Selangor,339757,6518500,804,231
edf0ff7e4,Selangor,339757,6518500,804,373
9eb042155,Selangor,339757,6518500,804,355
93c9866b0,Selangor,339757,6518500,804,473
4f35cb8e6,Selangor,339757,6518500,804,29
4ed26a84a,Selangor,339757,6518500,804,175
97bb6502c,Selangor,339757,6518500,804,118
58c5f739c,Selangor,339757,6518500,804,304
c161afd26,Selangor,339757,6518500,804,238
e914bdd82,Selangor,339757,6518500,804,685
8939a1ac8,Selangor,339757,6518500,804,394
350116b16,Selangor,339757,6518500,804,826
ca902248f,Selangor,339757,6518500,804,464
b3f1c8d27,Selangor,339757,6518500,804,220
fa5957d1c,Selangor,339757,6518500,804,284
160e267f4,Selangor,339757,6518500,804,159
d38ce48c2,Selangor,339757,6518500,804,46
650a1a505,Selangor,339757,6518500,804,165
efe569ca6,Selangor,339757,6518500,804,88
9568aa267,Selangor,339757,6518500,804,240
ef638b9d9,Selangor,339757,6518500,804,680
7ee6fe581,Selangor,339757,6518500,804,543
7f5cb9583,Selangor,339757,6518500,804,214
14f54fdb9,Selangor,339757,6518500,804,298
861af7cd5,Selangor,339757,6518500,804,732
74517d04f,Selangor,339757,6518500,804,32
442ab63f2,Selangor,339757,6518500,804,794
45dba413a,Selangor,339757,6518500,804,304
48fd10660,Selangor,339757,6518500,804,190
43ea3193d,Selangor,339757,6518500,804,16
cb062285d,Selangor,339757,6518500,804,364
e80389ea3,Selangor,339757,6518500,804,190
01e78230b,Selangor,339757,6518500,804,180
c6c1048af,Selangor,339757,6518500,804,694
89347826e,Selangor,339757,6518500,804,99
3b140cca4,Selangor,339757,6518500,804,425
e0736a22f,Selangor,339757,6518500,804,40
03a3fb084,Selangor,339757,6518500,804,75
64a40211a,Selangor,339757,6518500,804,26
e97e4eb52,Selangor,339757,6518500,804,533
91054dc16,Selangor,339757,6518500,804,297
7a496733d,Selangor,339757,6518500,804,1191
d3a6a081b,Selangor,339757,6518500,804,728
1b5e18242,Selangor,339757,6518500,804,82
810ae61da,Selangor,339757,6518500,804,186
b3fb62c05,Selangor,339757,6518500,804,118
b589d804e,Selangor,339757,6518500,804,310
e7f5a8bd0,Selangor,339757,6518500,804,133
151fabf52,Selangor,339757,6518500,804,181
fd60c4aa4,Selangor,339757,6518500,804,153
f454ac205,Selangor,339757,6518500,804,1099
cf3491020,Selangor,339757,6518500,804,31
b0084b888,Selangor,339757,6518500,804,234
5b554c6e3,Selangor,339757,6518500,804,100
c2bb6a3be,Selangor,339757,6518500,804,127
1eb041ff3,Selangor,339757,6518500,804,302
ad19a6ee0,Selangor,339757,6518500,804,353
0e6523901,Selangor,339757,6518500,804,199
1b36762d2,Selangor,339757,6518500,804,498
8240f1522,Selangor,339757,6518500,804,19
1a53ed96d,Selangor,339757,6518500,804,70
4248ee26d,Selangor,339757,6518500,804,305
bd006f963,Selangor,339757,6518500,804,736
c1e816568,Selangor,339757,6518500,804,406
cd7bea671,Selangor,339757,6518500,804,91
66757255c,Selangor,339757,6518500,804,367
65d10be4d,Selangor,339757,6518500,804,316
a2dc697f6,Selangor,339757,6518500,804,288
58a10d0cd,Selangor,339757,6518500,804,817
dd2ec7bf4,Selangor,339757,6518500,804,379
d0b61aedc,Selangor,339757,6518500,804,91
4e00cd0ac,Selangor,339757,6518500,804,160
468cec390,Selangor,339757,6518500,804,615
944db63df,Selangor,339757,6518500,804,126
76358e754,Selangor,339757,6518500,804,361
f1cc9dd25,Selangor,339757,6518500,804,162
1f949d065,Selangor,339757,6518500,804,1232
c54b26d73,Selangor,339757,6518500,804,273
283424d80,Selangor,339757,6518500,804,173
e2b5913e7,Selangor,339757,6518500,804,1152
6da65afb8,Selangor,339757,6518500,804,345
fc9773fa5,Selangor,339757,6518500,804,244
bb1775dbe,Selangor,339757,6518500,804,88
f33f3512e,Selangor,339757,6518500,804,60
dd2452dfa,Selangor,339757,6518500,804,124
483f1aae8,Selangor,339757,6518500,804,105
68b7c23f3,Selangor,339757,6518500,804,270
a362ad62e,Selangor,339757,6518500,804,1203
fc48054c2,Selangor,339757,6518500,804,706
f06cf606d,Selangor,339757,6518500,804,354
2683c99f1,Selangor,339757,6518500,804,253
ef1d7c2a1,Selangor,339757,6518500,804,47
0cb52145c,Selangor,339757,6518500,804,63
80f1863b8,Selangor,339757,6518500,804,387
83dff4077,Selangor,339757,6518500,804,160
a1188fdb7,Selangor,339757,6518500,804,20
948a1a82c,Selangor,339757,6518500,804,139
e472219f1,Selangor,339757,6518500,804,351
5dd3f3eb0,Selangor,339757,6518500,804,462
12ba67e43,Selangor,339757,6518500,804,241
fae1e95de,Selangor,339757,6518500,804,270
19fd91f5b,Selangor,339757,6518500,804,385
8b1abca6a,Selangor,339757,6518500,804,124
195c119c9,Selangor,339757,6518500,804,134
9fe3f6afa,Selangor,339757,6518500,804,353
3760c73b1,Selangor,339757,6518500,804,76
7e2ce5b3e,Selangor,339757,6518500,804,686
6704c5fd7,Selangor,339757,6518500,804,613
12890e9dc,Selangor,339757,6518500,804,214
ac59f3533,Selangor,339757,6518500,804,94
cb423070b,Selangor,339757,6518500,804,572
070014779,Selangor,339757,6518500,804,194
37e15671b,Selangor,339757,6518500,804,333
3ee76f8a2,Selangor,339757,6518500,804,458
